Source,RA_ICRS,DE_ICRS,pmRA,pmDE,Gmag,BPmag,RPmag
6086816210099481472,201.1337987978,-46.48771570244,-9.665,3.049,20.233576,21.257372,19.537428
6086816214396550016,201.13690768666,-46.48622663292,-15.005,0.0,20.32211,21.376991,19.221085
6086816214396545792,201.13075947486,-46.48701037266,-5.67,-0.568,20.21538,20.76036,19.787094
6086816210099487360,201.12739258002,-46.48588532136,-5.825,-1.663,20.008198,20.350885,19.325785
6086816214396550144,201.1346543774,-46.48387984907,,,20.84182,21.127556,20.048904
6086816210099507840,201.13598326521,-46.48108693947,-3.048,0.651,17.839117,18.250704,17.272482
6086816210099493504,201.14055979195,-46.48453701479,-3.695,-0.578,18.998793,19.377832,18.462673
6086816214396551168,201.13886395208,-46.4833012624,,,21.090843,21.08955,20.023859
6086816210099514752,201.14465790559,-46.47813253914,-3.39,0.594,20.499702,21.25966,19.572329
6086816214396556416,201.14553828535,-46.47831295629,-7.637,-2.723,20.58069,21.239508,20.53777
6086816210104009728,201.13688029441,-46.4800715421,-7.411,-0.462,19.925865,20.357536,19.4537
6086816248759103488,201.15613521596,-46.49434436071,-2.331,-2.929,20.752296,21.60586,19.838438
6086816244459204608,201.15861554424,-46.49383353842,-5.774,-1.494,16.992683,17.358969,16.448826
6086816244459209856,201.16289420428,-46.49149781641,-8.169,-1.155,18.30585,18.737886,17.726543
6086816244465607168,201.16430637949,-46.49048838033,-11.516,-0.423,20.027422,20.566845,19.150026
6086816244459207040,201.15435946976,-46.49268214256,-10.941,-1.148,19.595469,20.327084,18.906862
6086816244459242368,201.17270613788,-46.48204692581,-3.716,-0.409,20.155937,20.529877,19.585287
6086816244459226496,201.15544709749,-46.48607967331,-0.366,-0.025,19.577536,20.887564,18.596012
6086816244459241088,201.16296762502,-46.48210306614,0.813,2.382,20.169079,20.567663,19.476774
6086816248756306432,201.16743988225,-46.47852706339,-3.62,-1.81,20.463509,21.000126,19.688744
6086816283117053568,201.1795690043,-46.47775089902,-16.228,-7.592,20.666965,21.409996,19.575886
